>>> Updated on: 2019-02-21T12:02:02Z <<<
tld,u-label,registry-operator,date-of-contract-signature,application-id,delegation-date
farmers,,"Farmers Insurance Exchange",2015-07-09,1-1801-23208,2016-06-25
fashion,,"Minds + Machines Group Limited",2014-07-03,1-1039-98979,2014-12-06
fast,,"Amazon Registry Services, Inc.",2014-12-18,1-1316-97653,2015-12-05
fedex,,"Federal Express Corporation",2015-08-06,1-1896-90293,2016-06-25
feedback,,"Top Level Spectrum, Inc.",2013-12-19,1-1279-54497,2014-04-10
ferrari,,"Fiat Chrysler Automobiles N.V.",2015-07-31,1-2071-48444,2016-08-02
ferrero,,"Ferrero Trading Lux S.A.",2014-12-18,1-1126-78849,2015-11-07
fiat,,"Fiat Chrysler Automobiles N.V.",2015-07-31,1-2067-46114,2016-08-02
fidelity,,"Fidelity Brokerage Services LLC",2015-07-30,1-1845-19586,2016-08-04
fido,,"Rogers Communications Canada Inc.",2015-08-06,1-1036-80240,2016-09-20
film,,"Motion Picture Domain Registry Pty Ltd",2015-01-08,1-1802-37358,2015-03-24
final,,"Núcleo de Informação e Coordenação do Ponto BR - NIC.br",2014-10-16,1-1119-72288,2015-09-26
finance,,"Binky Moon, LLC",2014-03-20,1-1454-18725,2014-04-29
financial,,"Binky Moon, LLC",2014-03-06,1-1453-71764,2014-04-23
fire,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-94280,2016-06-07
firestone,,"Bridgestone Licensing Services, Inc",2014-12-18,1-954-87942,2015-12-05
firmdale,,"Firmdale Holdings Limited",2014-03-27,1-1818-23087,2014-11-20
fish,,"Binky Moon, LLC",2013-12-12,1-1459-49079,2014-02-21
fishing,,"Minds + Machines Group Limited",2013-11-21,1-1039-82031,2014-03-31
fit,,"Minds + Machines Group Limited",2014-11-07,1-1039-18316,2015-01-09
fitness,,"Binky Moon, LLC",2014-03-06,1-1457-79967,2014-04-22
flickr,,"Yahoo! Domain Services Inc.",2015-04-02,1-1168-54294,2016-02-13
flights,,"Binky Moon, LLC",2013-12-05,1-1460-3791,2014-02-04
flir,,"FLIR Systems, Inc.",2015-07-23,1-1272-48294,2016-05-10
florist,,"Binky Moon, LLC",2013-11-07,1-1456-34878,2013-12-28
flowers,,"Uniregistry, Corp.",2014-10-09,1-845-21975,2014-12-25
fly,,"Charleston Road Registry Inc.",2014-05-08,1-1141-48206,2014-09-15
foo,,"Charleston Road Registry Inc.",2014-01-23,1-1681-22593,2014-04-19
food,,"Lifestyle Domain Holdings, Inc.",2016-04-21,1-1326-50608,2016-11-10
foodnetwork,,"Lifestyle Domain Holdings, Inc.",2015-07-02,1-1326-10877,2016-06-23
football,,"Binky Moon, LLC",2014-12-18,1-1463-19656,2015-02-19
ford,,"Ford Motor Company",2014-11-13,1-1310-12426,2015-12-18
forex,,"Dotforex Registry Limited",2014-12-11,1-2043-82969,2015-03-12
forsale,,"Dog Beach, LLC",2014-05-22,1-1461-35653,2014-10-01
forum,,"Fegistry, LLC",2015-04-02,1-1913-92671,2015-07-01
foundation,,"Binky Moon, LLC",2013-12-05,1-1468-64201,2014-02-11
fox,,"FOX Registry, LLC",2015-09-11,1-1167-1880,2015-12-24
free,,"Amazon Registry Services, Inc.",2015-12-10,1-1316-21923,2016-11-08
fresenius,,"Fresenius Immobilien-Verwaltungs-GmbH",2015-07-30,1-916-50890,2016-01-09
frl,,"FRLregistry B.V.",2014-05-15,1-1312-75662,2014-08-30
frogans,,"OP3FT",2013-12-19,1-1270-9301,2014-04-19
frontdoor,,"Lifestyle Domain Holdings, Inc.",2015-07-02,1-1326-50203,2016-06-23
frontier,,"Frontier Communications Corporation",2015-02-05,1-2106-18801,2016-02-06
ftr,,"Frontier Communications Corporation",2015-07-16,1-2105-39700,2016-04-17
fujitsu,,"Fujitsu Limited",2015-07-30,1-1722-42216,2016-07-07
fujixerox,,"Xerox DNHC LLC",2015-07-23,1-1046-39945,2016-07-15
fun,,"DotSpace Inc.",2016-01-14,1-1274-35353,2016-12-21
fund,,"Binky Moon, LLC",2014-03-20,1-1467-34522,2014-04-23
furniture,,"Binky Moon, LLC",2014-03-20,1-1466-60532,2014-04-23
futbol,,"Dog Beach, LLC",2013-09-20,1-1469-89174,2014-02-11
fyi,,"Binky Moon, LLC",2015-04-02,1-1579-33517,2015-05-22
gal,,"Asociación puntoGAL",2013-11-07,1-1278-425,2014-04-11
gallery,,"Binky Moon, LLC",2013-09-13,1-1471-10955,2013-11-14
gallo,,"Gallo Vineyards, Inc.",2015-06-11,1-1983-39264,2016-03-22
gallup,,"Gallup, Inc.",2015-02-19,1-1124-66954,2016-02-11
game,,"Uniregistry, Corp.",2015-05-28,1-855-17500,2015-07-08
games,,"Dog Beach, LLC",2015-05-28,1-1470-40168,2016-06-02
gap,,"The Gap, Inc.",2015-07-31,1-925-90449,2016-08-04
garden,,"Minds + Machines Group Limited",2014-06-26,1-1039-6355,2014-12-13
gbiz,,"Charleston Road Registry Inc.",2014-07-17,1-1683-16092,2014-08-27
gdn,,"Joint Stock Company \"Navigation-information systems\"",2014-07-31,1-1866-26783,2015-02-13
gea,,"GEA Group Aktiengesellschaft",2014-12-04,1-1337-68453,2015-08-28
gent,,"COMBELL NV",2014-01-23,1-1679-97532,2014-07-12
genting,,"Resorts World Inc Pte. Ltd.",2015-03-12,1-2073-97647,2015-06-20
george,,"Wal-Mart Stores, Inc.",2015-07-31,1-1244-15683,2016-08-18
ggee,,"GMO Internet, Inc.",2014-01-09,1-1734-71117,2014-12-25
gift,,"DotGift, LLC",2013-10-17,1-855-85881,2014-01-18
gifts,,"Binky Moon, LLC",2014-07-03,1-1474-76888,2014-08-08
gives,,"Dog Beach, LLC",2014-03-06,1-1255-39674,2014-06-04
giving,,"Giving Limited",2014-11-13,1-1284-21841,2015-08-06
glade,,"Johnson Shareholdings, Inc.",2015-07-23,1-1248-47766,2016-07-28
glass,,"Binky Moon, LLC",2013-11-07,1-1475-74719,2013-12-28
gle,,"Charleston Road Registry Inc.",2014-07-24,1-1099-85478,2014-09-15
global,,"Dot Global Domain Registry Limited",2014-04-17,1-1747-40234,2014-06-11
globo,,"Globo Comunicação e Participações S.A",2013-12-19,1-1151-96871,2014-05-03
gmail,,"Charleston Road Registry Inc.",2014-05-01,1-1099-70123,2014-08-27
gmbh,,"Binky Moon, LLC",2016-01-29,1-1477-91047,2016-03-09
gmo,,"GMO Internet Pte. Ltd.",2014-01-09,1-1657-61205,2014-05-03
gmx,,"1&1 Mail & Media GmbH",2014-04-24,1-1256-36701,2014-09-05
godaddy,,"Go Daddy East, LLC",2015-07-23,1-1109-42895,2016-07-07
gold,,"Binky Moon, LLC",2015-01-22,1-1478-71326,2015-03-24
goldpoint,,"YODOBASHI CAMERA CO.,LTD.",2014-11-20,1-1809-71826,2015-02-19
golf,,"Binky Moon, LLC",2014-12-18,1-1476-38656,2015-03-24
goo,,"NTT Resonant Inc.",2014-12-18,1-1810-48580,2015-03-03
goodyear,,"The Goodyear Tire & Rubber Company",2015-07-02,1-1886-86906,2016-06-10
goog,,"Charleston Road Registry Inc.",2014-11-20,1-1099-4940,2015-01-24
google,,"Charleston Road Registry Inc.",2014-07-24,1-1099-35758,2014-09-15
gop,,"Republican State Leadership Committee, Inc.",2014-01-16,1-994-50847,2014-04-04
got,,"Amazon Registry Services, Inc.",2014-12-18,1-1316-81180,2015-12-05
grainger,,"Grainger Registry Services, LLC",2015-05-07,1-1006-23981,2015-11-13
graphics,,"Binky Moon, LLC",2013-09-13,1-1479-5306,2013-11-14
gratis,,"Binky Moon, LLC",2014-03-20,1-1481-2922,2014-04-23
green,,"Afilias plc",2014-05-08,1-868-24661,2014-06-19
gripe,,"Binky Moon, LLC",2014-03-06,1-1486-63504,2014-04-11
grocery,,"Wal-Mart Stores, Inc.",2016-06-16,1-2064-74519,2017-06-28
group,,"Binky Moon, LLC",2014-08-15,1-1482-30833,2015-08-08
guardian,,"The Guardian Life Insurance Company of America",2015-07-30,1-1298-37058,2016-05-13
gucci,,"Guccio Gucci S.p.a.",2014-11-13,1-951-28008,2015-10-27
guge,,"Charleston Road Registry Inc.",2014-08-28,1-1099-76403,2015-03-24
guide,,"Binky Moon, LLC",2013-09-13,1-1484-33046,2014-05-15
guitars,,"Uniregistry, Corp.",2013-11-14,1-855-34620,2014-01-18
guru,,"Binky Moon, LLC",2013-08-27,1-1487-73268,2013-11-06
hair,,"L'Oréal",2015-12-03,1-1302-98299,2016-12-02
hamburg,,"Hamburg Top-Level-Domain GmbH",2014-02-20,1-1134-57974,2014-06-04
hangout,,"Charleston Road Registry Inc.",2014-11-13,1-1678-13168,2015-01-24
haus,,"Dog Beach, LLC",2013-12-05,1-1488-15641,2014-03-31
hbo,,"HBO Registry Services, Inc.",2015-07-30,1-1783-76510,2016-08-14
hdfc,,"HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED",2015-07-30,1-1859-23172,2016-08-16
hdfcbank,,"HDFC Bank Limited",2015-02-12,1-1307-93169,2016-02-11
health,,"DotHealth, LLC",2015-02-11,1-1684-6394,2016-01-26
healthcare,,"Binky Moon, LLC",2014-06-12,1-1492-32589,2014-07-30
help,,"Uniregistry, Corp.",2014-06-26,1-845-3403,2014-08-16
helsinki,,"City of Helsinki",2015-02-05,1-1865-66478,2016-01-26
here,,"Charleston Road Registry Inc.",2014-02-06,1-1140-20987,2014-08-29
hermes,,"HERMES INTERNATIONAL",2014-07-10,1-1136-8758,2015-01-24
hgtv,,"Lifestyle Domain Holdings, Inc.",2015-07-02,1-1326-4851,2016-06-23
hiphop,,"Uniregistry, Corp.",2014-03-06,1-855-7383,2014-05-15
hisamitsu,,"Hisamitsu Pharmaceutical Co.,Inc.",2015-07-16,1-935-57258,2016-06-02
hitachi,,"Hitachi, Ltd.",2014-10-31,1-1024-52378,2015-05-01
hiv,,"Uniregistry, Corp.",2014-03-13,1-971-90747,2014-05-31
hkt,,"PCCW-HKT DataCom Services Limited",2015-05-14,1-1309-96306,2016-05-12
hockey,,"Binky Moon, LLC",2015-03-19,1-1493-98462,2015-05-07
holdings,,"Binky Moon, LLC",2013-08-27,1-1496-1524,2013-11-06
holiday,,"Binky Moon, LLC",2013-11-07,1-1497-56699,2013-12-28
homedepot,,"Home Depot Product Authority, LLC",2015-04-02,1-1095-1782,2015-06-04
homegoods,,"The TJX Companies, Inc.",2015-07-16,1-1764-99491,2016-07-15
homes,,"DERHomes, LLC",2014-01-09,1-909-196,2014-05-22
homesense,,"The TJX Companies, Inc.",2015-07-16,1-1764-22954,2016-07-15
honda,,"Honda Motor Co., Ltd.",2014-12-18,1-1923-79996,2015-04-30
honeywell,,"Honeywell GTLD LLC",2015-07-23,1-1517-81574,2016-07-26
horse,,"Minds + Machines Group Limited",2013-11-21,1-927-86049,2014-03-31
hospital,,"Binky Moon, LLC",2016-10-20,1-1505-15195,2016-12-09
host,,"DotHost Inc.",2014-04-17,1-1061-73671,2014-05-31
hosting,,"Uniregistry, Corp.",2014-05-29,1-855-76484,2014-08-16
hot,,"Amazon Registry Services, Inc.",2015-08-27,1-1316-38620,2016-08-10
hoteles,,"Travel Reservations SRL",2015-03-05,1-1249-1940,2015-06-26
hotels,,"Booking.com B.V.",2016-04-07,1-1016-75482,2017-04-07
hotmail,,"Microsoft Corporation",2014-12-18,1-1129-32525,2015-06-10
house,,"Binky Moon, LLC",2013-11-07,1-1506-83794,2013-12-28
how,,"Charleston Road Registry Inc.",2014-01-23,1-1682-29920,2014-08-16
hsbc,,"HSBC Global Services (UK) Limited",2014-10-24,1-1689-20699,2015-07-10
hughes,,"Hughes Satellite Systems Corporation",2015-07-30,1-1997-46911,2016-08-10
hyatt,,"Hyatt GTLD, L.L.C.",2015-07-30,1-965-48449,2016-07-28
hyundai,,"Hyundai Motor Company",2015-07-09,1-1922-62743,2015-09-26
ibm,,"International Business Machines Corporation",2014-07-31,1-992-57662,2014-10-01
icbc,,"Industrial and Commercial Bank of China Limited",2015-02-19,1-1010-74163,2015-05-13
ice,,"IntercontinentalExchange, Inc.",2014-10-30,1-1965-44528,2015-07-22
icu,,"ShortDot SA",2015-01-08,1-979-15291,2015-05-02
ieee,,"IEEE Global LLC",2015-07-23,1-966-50066,2016-07-21
ifm,,"ifm electronic gmbh",2014-01-30,1-1740-10420,2015-01-24
ikano,,"Ikano S.A.",2015-07-09,1-1002-9044,2016-07-01
imamat,,"Fondation Aga Khan (Aga Khan Foundation)",2015-08-06,1-1013-17019,2016-04-16
imdb,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-27811,2016-06-07
immo,,"Binky Moon, LLC",2014-07-10,1-1511-99612,2014-08-27
immobilien,,"Dog Beach, LLC",2013-11-07,1-1255-76933,2014-01-02
inc,,"Intercap Holdings Inc.",2018-03-10,1-1309-22501,2018-07-17
industries,,"Binky Moon, LLC",2013-12-05,1-1510-3058,2014-02-21
infiniti,,"NISSAN MOTOR CO., LTD.",2014-03-27,1-1022-99709,2015-03-04
ing,,"Charleston Road Registry Inc.",2014-01-23,1-1683-75852,2014-08-30
ink,,"Top Level Design, LLC",2013-12-05,1-1086-41069,2014-03-11
institute,,"Binky Moon, LLC",2013-11-07,1-1514-76062,2013-12-28
insurance,,"fTLD Registry Services LLC",2015-02-19,1-1035-75923,2015-12-03
insure,,"Binky Moon, LLC",2014-03-20,1-1516-617,2014-04-29
intel,,"Intel Corporation",2015-08-06,1-1695-84442,2016-07-28
international,,"Binky Moon, LLC",2013-11-07,1-1513-9603,2013-12-28
intuit,,"Intuit Administrative Services, Inc.",2015-07-30,1-1281-62880,2016-07-12
investments,,"Binky Moon, LLC",2014-03-20,1-1521-75718,2014-04-23
ipiranga,,"Ipiranga Produtos de Petroleo S.A.",2014-08-28,1-1047-90306,2015-07-26
irish,,"Binky Moon, LLC",2014-08-07,1-899-83326,2014-12-02
iselect,,"iSelect Ltd",2015-02-11,1-1088-54663,2016-01-15
ismaili,,"Fondation Aga Khan (Aga Khan Foundation)",2015-08-06,1-1013-63095,2016-04-16
ist,,"Istanbul Metropolitan Municipality",2014-08-28,1-896-64208,2015-07-11
istanbul,,"Istanbul Metropolitan Municipality",2014-08-28,1-896-81048,2015-07-11
itau,,"Itau Unibanco Holding S.A.",2014-10-02,1-876-18413,2015-07-22
itv,,"ITV Services Limited",2015-07-09,1-978-21016,2016-06-21
iveco,,"CNH Industrial N.V.",2015-09-03,1-2053-96234,2016-10-30
jaguar,,"Jaguar Land Rover Ltd",2014-11-13,1-2033-3936,2015-10-27
java,,"Oracle Corporation",2014-06-19,1-1785-88138,2015-03-03
jcb,,"JCB Co., Ltd.",2014-11-20,1-1806-69861,2015-01-23
jcp,,"JCP Media, Inc.",2015-04-23,1-1897-48644,2016-03-30
jeep,,"FCA US LLC.",2015-07-30,1-2056-76990,2016-07-28
jetzt,,"Binky Moon, LLC",2014-01-09,1-1758-31045,2014-03-15
jewelry,,"Binky Moon, LLC",2015-03-05,1-1520-93221,2015-04-16
jio,,"Reliance Industries Limited",2015-04-02,1-1013-15809,2016-11-15
jll,,"Jones Lang LaSalle Incorporated",2015-04-02,1-1250-4137,2015-05-22
jmp,,"Matrix IP LLC",2015-03-26,1-1323-79639,2015-12-18
jnj,,"Johnson & Johnson Services, Inc.",2015-06-18,1-1156-43157,2016-04-08
joburg,,"ZA Central Registry NPC trading as ZA Central Registry",2014-03-24,1-1864-76634,2014-06-19
jot,,"Amazon Registry Services, Inc.",2014-12-18,1-1316-47849,2015-12-05
joy,,"Amazon Registry Services, Inc.",2014-12-18,1-1316-61557,2015-12-05
jpmorgan,,"JPMorgan Chase Bank, National Association",2015-04-30,1-1190-27386,2016-02-27
jprs,,"Japan Registry Services Co., Ltd.",2014-09-18,1-913-735,2015-07-08
juegos,,"Uniregistry, Corp.",2014-03-20,1-845-92261,2014-05-15
juniper,,"JUNIPER NETWORKS, INC.",2015-07-30,1-1937-57060,2016-08-02
kaufen,,"Dog Beach, LLC",2013-11-07,1-1255-46630,2013-12-28
kddi,,"KDDI CORPORATION",2014-09-12,1-1306-80495,2015-01-09
kerryhotels,,"Kerry Trading Co. Limited",2015-04-30,1-928-47602,2016-03-05
kerrylogistics,,"Kerry Trading Co. Limited",2015-04-09,1-928-31367,2016-03-05
kerryproperties,,"Kerry Trading Co. Limited",2015-04-09,1-928-12798,2016-03-05
kfh,,"Kuwait Finance House",2014-12-04,1-2099-6189,2015-12-15
kia,,"KIA MOTORS CORPORATION",2015-07-09,1-1737-31984,2015-09-26
kim,,"Afilias plc",2013-09-23,1-868-81619,2014-01-23
kinder,,"Ferrero Trading Lux S.A.",2014-11-07,1-1126-16883,2015-10-09
kindle,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-18526,2016-06-07
kitchen,,"Binky Moon, LLC",2013-09-20,1-1526-71442,2013-11-19
kiwi,,"DOT KIWI LIMITED",2013-09-20,1-853-70338,2014-01-03
koeln,,"dotKoeln GmbH",2014-01-09,1-860-46860,2014-03-05
komatsu,,"Komatsu Ltd.",2015-01-08,1-946-52298,2015-03-26
kosher,,"Kosher Marketing Assets LLC",2015-08-20,1-1013-67544,2016-06-10
kpmg,,"KPMG International Cooperative (KPMG International Genossenschaft)",2015-04-23,1-1091-69197,2016-04-05
kpn,,"Koninklijke KPN N.V.",2015-01-08,1-1667-96713,2015-12-15
krd,,"KRG Department of Information Technology",2013-12-05,1-1260-38811,2014-07-18
kred,,"KredTLD Pty Ltd",2013-12-19,1-1707-1944,2014-02-27
kuokgroup,,"Kerry Trading Co. Limited",2015-04-09,1-928-30883,2016-03-05
kyoto,,"Academic Institution: Kyoto Jyoho Gakuen",2014-11-07,1-1716-31099,2015-01-28
lacaixa,,"Fundación Bancaria Caixa d’Estalvis i Pensions de Barcelona, “la Caixa”",2014-01-09,1-1835-20716,2014-07-18
ladbrokes,,"LADBROKES INTERNATIONAL PLC",2015-08-06,1-1823-86614,2016-07-29
lamborghini,,"Automobili Lamborghini S.p.A.",2015-06-04,1-1261-2722,2015-11-25
lamer,,"The Estée Lauder Companies Inc.",2015-10-01,1-1964-45137,2015-12-24
lancaster,,"LANCASTER",2015-02-12,1-854-19943,2015-07-15
lancia,,"Fiat Chrysler Automobiles N.V.",2015-07-31,1-2070-21096,2016-08-04
lancome,,"L'Oréal",2015-07-23,1-1301-74397,2016-07-15
land,,"Binky Moon, LLC",2013-09-10,1-1525-41533,2013-11-14
landrover,,"Jaguar Land Rover Ltd",2014-11-13,1-2032-73816,2015-10-27
lanxess,,"LANXESS Corporation",2015-07-30,1-1754-39601,2016-01-26
lasalle,,"Jones Lang LaSalle Incorporated",2015-04-02,1-1250-96768,2015-06-11
lat,,"ECOM-LAC Federaciòn de Latinoamèrica y el Caribe para Internet y el Comercio Electrònico",2014-10-16,1-943-512,2015-01-09
latino,,"Dish DBS Corporation",2015-07-30,1-2008-77299,2016-08-04
latrobe,,"La Trobe University",2014-06-16,1-2074-51517,2014-12-02
law,,"LW TLD Limited",2015-01-22,1-927-20582,2015-06-26
lawyer,,"Dog Beach, LLC",2014-03-20,1-1531-96078,2014-05-31
lds,,"IRI Domain Management, LLC (\"Applicant\")",2014-03-20,1-1098-21368,2014-11-19
lease,,"Binky Moon, LLC",2014-03-06,1-1540-49920,2014-04-11
leclerc,,"A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc",2014-08-07,1-1251-68491,2015-03-03
lefrak,,"LeFrak Organization, Inc.",2015-07-16,1-1907-30970,2016-07-14
legal,,"Binky Moon, LLC",2014-10-16,1-1536-79233,2014-11-26
lego,,"LEGO Juris A/S",2015-07-16,1-1795-41858,2016-06-16
lexus,,"TOYOTA MOTOR CORPORATION",2015-04-23,1-1717-84290,2015-07-26
lgbt,,"Afilias plc",2014-05-08,1-868-8822,2014-07-18
liaison,,"Liaison Technologies, Incorporated",2014-10-02,1-1904-8749,2015-05-02
lidl,,"Schwarz Domains und Services GmbH & Co. KG",2014-09-18,1-1123-60314,2014-12-13
life,,"Binky Moon, LLC",2014-02-06,1-1535-64595,2014-05-15
lifeinsurance,,"American Council of Life Insurers",2015-01-15,1-1160-79590,2016-01-19
lifestyle,,"Lifestyle Domain Holdings, Inc.",2014-12-11,1-1326-24715,2015-11-10
lighting,,"Binky Moon, LLC",2013-08-27,1-1539-6233,2013-11-06
like,,"Amazon Registry Services, Inc.",2014-12-18,1-1316-52467,2015-12-05
lilly,,"Eli Lilly and Company",2015-07-31,1-1018-57217,2016-07-31
limited,,"Binky Moon, LLC",2014-03-06,1-1542-96415,2014-04-23
limo,,"Binky Moon, LLC",2013-10-17,1-1543-47454,2013-12-17
lincoln,,"Ford Motor Company",2014-11-13,1-1666-99781,2015-12-18
linde,,"Linde Aktiengesellschaft",2014-12-04,1-1793-71500,2015-09-16
link,,"Uniregistry, Corp.",2013-11-14,1-855-72194,2014-01-18
lipsy,,"Lipsy Ltd",2015-06-25,1-1319-371,2016-05-03
live,,"Dog Beach, LLC",2014-12-04,1-1545-55209,2015-07-08
living,,"Lifestyle Domain Holdings, Inc.",2015-07-30,1-1326-92909,2015-12-28
lixil,,"LIXIL Group Corporation",2015-03-19,1-969-63512,2015-07-30
llc,,"Afilias plc",2017-12-14,1-868-65445,2018-02-22
loan,,"dot Loan Limited",2014-11-20,1-1222-21097,2015-03-25
loans,,"Binky Moon, LLC",2014-03-20,1-1544-18264,2014-05-15
locker,,"Dish DBS Corporation",2015-06-04,1-2013-75702,2016-05-27
locus,,"Locus Analytics LLC",2015-06-25,1-1890-88961,2016-03-09
loft,,"Annco, Inc.",2015-07-30,1-1161-52785,2016-08-04
lol,,"Uniregistry, Corp.",2015-01-30,1-855-10958,2015-05-02
london,,"Dot London Domains Limited",2013-11-14,1-1252-62369,2014-03-22
lotte,,"Lotte Holdings Co., Ltd.",2014-11-07,1-1863-52010,2015-01-14
lotto,,"Afilias plc",2014-04-10,1-868-7904,2014-06-19
love,,"Merchant Law Group LLP",2014-12-22,1-875-6276,2015-04-02
lpl,,"LPL Holdings, Inc.",2015-07-30,1-1144-53270,2016-07-19
lplfinancial,,"LPL Holdings, Inc.",2015-07-30,1-1144-82616,2016-07-19
ltd,,"Binky Moon, LLC",2014-09-25,1-1550-65638,2015-09-23
ltda,,"InterNetX, Corp",2014-04-17,1-1013-35966,2014-08-16
lundbeck,,"H. Lundbeck A/S",2015-08-06,1-2077-4329,2016-07-15
lupin,,"LUPIN LIMITED",2014-11-07,1-1325-70178,2015-05-16
luxe,,"Minds + Machines Group Limited",2014-01-09,1-1037-14905,2014-05-15
luxury,,"Luxury Partners, LLC",2013-10-17,1-1265-36346,2014-01-18
macys,,"Macys, Inc.",2015-07-31,1-1790-19744,2016-07-12
madrid,,"Comunidad de Madrid",2014-05-01,1-1742-48964,2014-11-20
maif,,"Mutuelle Assurance Instituteur France (MAIF)",2014-10-02,1-1819-55314,2015-03-03
maison,,"Binky Moon, LLC",2013-12-05,1-1552-8006,2014-02-11
makeup,,"L'Oréal",2015-01-15,1-1302-1511,2016-01-15
man,,"MAN SE",2014-12-04,1-1869-92391,2015-07-26
management,,"Binky Moon, LLC",2013-11-07,1-1555-40996,2013-12-17
mango,,"PUNTO FA S.L.",2013-10-24,1-1784-26967,2014-02-16
map,,"Charleston Road Registry Inc.",2016-06-09,1-1417-46480,2017-06-29
market,,"Dog Beach, LLC",2014-03-06,1-1553-52336,2014-05-31
marketing,,"Binky Moon, LLC",2013-11-07,1-1557-30317,2014-01-14
markets,,"Dotmarkets Registry Limited",2014-12-11,1-2042-29017,2015-03-12
marriott,,"Marriott Worldwide Corporation",2014-10-09,1-1242-18450,2015-01-14
marshalls,,"The TJX Companies, Inc.",2015-07-16,1-1764-97027,2016-07-15
maserati,,"Fiat Chrysler Automobiles N.V.",2015-07-31,1-2069-31888,2016-08-04
mattel,,"Mattel Sites, Inc.",2015-08-06,1-2089-2530,2016-05-28
mba,,"Binky Moon, LLC",2015-04-02,1-1556-47497,2015-05-22
mckinsey,,"McKinsey Holdings, Inc.",2015-07-31,1-1782-78035,2016-07-31
med,,"Medistry LLC",2015-08-06,1-907-38758,2015-12-03
media,,"Binky Moon, LLC",2014-03-06,1-1560-69674,2014-04-11
meet,,"Charleston Road Registry Inc.",2014-01-16,1-868-85241,2014-03-27
melbourne,,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2014-05-29,1-1918-10194,2014-07-10
meme,,"Charleston Road Registry Inc.",2014-01-30,1-1680-9209,2014-08-30
memorial,,"Dog Beach, LLC",2014-10-16,1-1563-40885,2014-11-26
men,,"Exclusive Registry Limited",2015-02-26,1-1215-86537,2015-05-20
menu,,"Wedding TLD2, LLC",2013-09-11,1-856-30202,2013-11-30
merckmsd,,"MSD Registry Holdings, Inc.",2016-07-14,1-1704-28482,2017-07-10
metlife,,"MetLife Services and Solutions, LLC",2015-05-07,1-1774-89667,2016-05-11
miami,,"Minds + Machines Group Limited",2013-12-19,1-1039-76209,2014-03-31
microsoft,,"Microsoft Corporation",2014-12-18,1-1129-74317,2015-06-10
mini,,"Bayerische Motoren Werke Aktiengesellschaft",2014-01-09,1-938-68005,2014-06-24
mint,,"Intuit Administrative Services, Inc.",2015-07-30,1-1509-35084,2016-07-12
mit,,"Massachusetts Institute of Technology",2015-07-02,1-986-42582,2016-07-06
mitsubishi,,"Mitsubishi Corporation",2015-07-23,1-1195-88153,2016-07-07
mlb,,"MLB Advanced Media DH, LLC",2015-05-21,1-1246-40551,2016-05-25
mls,,"The Canadian Real Estate Association",2015-04-23,1-1828-26452,2016-04-20
mma,,"MMA IARD",2014-11-07,1-1727-80321,2015-03-31
mobile,,"Dish DBS Corporation",2016-06-02,1-2012-89566,2016-12-20
mobily,,"GreenTech Consultancy Company W.L.L.",2014-12-18,1-2114-81237,2015-12-23
moda,,"Dog Beach, LLC",2013-11-07,1-1255-64246,2014-01-14
moe,,"Interlink Co., Ltd.",2013-11-13,1-901-45839,2014-03-31
moi,,"Amazon Registry Services, Inc.",2014-12-18,1-1316-70032,2015-10-07
mom,,"Uniregistry, Corp.",2015-04-16,1-855-75369,2015-08-19
monash,,"Monash University",2013-09-30,1-1153-75618,2014-01-18
money,,"Binky Moon, LLC",2014-10-16,1-1567-79679,2014-11-26
monster,,"XYZ.COM LLC",2015-09-11,1-1697-33789,2016-09-14
mopar,,"FCA US LLC.",2015-07-30,1-2060-34064,2016-08-02
mormon,,"IRI Domain Management, LLC (\"Applicant\")",2013-12-05,1-1098-52000,2014-11-19
mortgage,,"Dog Beach, LLC",2014-03-20,1-1564-75367,2014-05-31
moscow,,"Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)",2013-12-19,1-975-59500,2014-04-24
moto,,"Motorola Trademark Holdings, LLC",2015-06-04,1-1138-87257,2016-11-12
motorcycles,,"DERMotorcycles, LLC",2014-01-09,1-909-56431,2014-05-22
mov,,"Charleston Road Registry Inc.",2014-01-30,1-1142-23068,2014-08-30
movie,,"Binky Moon, LLC",2015-02-05,1-1570-42842,2015-03-25
movistar,,"Telefónica S.A.",2014-10-16,1-1791-84637,2015-06-26
msd,,"MSD Registry Holdings, Inc.",2015-07-23,1-1704-5879,2016-07-23
mtn,,"MTN Dubai Limited",2014-12-04,1-2140-13825,2015-03-25
mtr,,"MTR Corporation Limited",2015-03-12,1-2028-44295,2015-10-07
mutual,,"Northwestern Mutual MU TLD Registry, LLC",2015-04-02,1-1187-18162,2016-04-05
nab,,"National Australia Bank Limited",2015-08-20,1-1724-35592,2016-08-18
nadex,,"Nadex Domains, Inc.",2014-12-11,1-2044-88394,2015-05-02
nagoya,,"GMO Registry, Inc.",2013-10-24,1-1725-26914,2014-01-29
nationwide,,"Nationwide Mutual Insurance Company",2015-07-23,1-1878-48436,2016-07-15
